Data_type,Sensitivity,Department,Purpose,Emergency,Access_policy
Imaging Data,Highly Confidential,Radiology,Training,Yes,This data can be accessed by users having roles: Doctor and belonging to the Radiology department with clearance level 3.
Lab Results,Restricted,Neurology,Research,No,This data can be accessed by users having roles: (Doctor or Nurse) and belonging to the Neurology department with clearance level 2.
Research Data,Restricted,Radiology,Billing,Yes,This data can be accessed by users having roles: (Nurse or Admin) and belonging to the Radiology department with clearance level 3.
Medical Records,Restricted,Oncology,Research,No,This data can be accessed by users having roles: Researcher and belonging to the Oncology department with clearance level 2.
Research Data,Confidential,Radiology,Treatment,No,This data can be accessed by users having roles: (Nurse or Researcher) and belonging to the Radiology department with clearance level 3.
Prescriptions,Highly Confidential,Radiology,Research,No,This data can be accessed by users having roles: Nurse and belonging to the Radiology department with clearance level 2.
Medical Records,Restricted,Neurology,Treatment,No,This data can be accessed by users having roles: (Doctor or Researcher) and belonging to the Neurology department with clearance level 1.
Prescriptions,Confidential,Cardiology,Treatment,Yes,This data can be accessed by users having roles: (Admin or Doctor) and belonging to the Cardiology department with clearance level 3.
Medical Records,Public,General Medicine,Training,Yes,This data can be accessed by users having roles: (Nurse or Researcher) and belonging to the General Medicine department with clearance level 2.
Lab Results,Restricted,Neurology,Treatment,Yes,This data can be accessed by users having roles: (Admin or Doctor) and belonging to the Neurology department with clearance level 1.
Research Data,Confidential,General Medicine,Training,No,This data can be accessed by users having roles: (Nurse or Admin) and belonging to the General Medicine department with clearance level 2.
Prescriptions,Highly Confidential,Cardiology,Treatment,Yes,This data can be accessed by users having roles: Researcher and belonging to the Cardiology department with clearance level 3.
Medical Records,Public,Radiology,Research,Yes,This data can be accessed by users having roles: (Doctor or Researcher) and belonging to the Radiology department with clearance level 3.
Research Data,Public,Cardiology,Billing,No,This data can be accessed by users having roles: Nurse and belonging to the Cardiology department with clearance level 3.
Administrative Data,Public,Radiology,Training,No,This data can be accessed by users having roles: (Nurse or Admin) and belonging to the Radiology department with clearance level 3.
Prescriptions,Public,Neurology,Research,Yes,This data can be accessed by users having roles: (Nurse or Doctor) and belonging to the Neurology department with clearance level 2.
Lab Results,Confidential,General Medicine,Treatment,No,This data can be accessed by users having roles: (Nurse or Admin) and belonging to the General Medicine department with clearance level 1.
Medical Records,Restricted,Cardiology,Billing,No,This data can be accessed by users having roles: (Researcher or Nurse) and belonging to the Cardiology department with clearance level 2.
Medical Records,Public,Radiology,Treatment,No,This data can be accessed by users having roles: Researcher and belonging to the Radiology department with clearance level 3.
Imaging Data,Restricted,Cardiology,Research,No,This data can be accessed by users having roles: (Nurse or Admin) and belonging to the Cardiology department with clearance level 3.
Lab Results,Public,General Medicine,Research,No,This data can be accessed by users having roles: (Doctor or Nurse) and belonging to the General Medicine department with clearance level 1.
Lab Results,Highly Confidential,Oncology,Training,No,This data can be accessed by users having roles: (Doctor or Admin) and belonging to the Oncology department with clearance level 2.
Administrative Data,Confidential,Cardiology,Treatment,No,This data can be accessed by users having roles: Nurse and belonging to the Cardiology department with clearance level 3.
Research Data,Highly Confidential,General Medicine,Training,No,This data can be accessed by users having roles: (Researcher or Doctor) and belonging to the General Medicine department with clearance level 2.
Imaging Data,Confidential,Oncology,Billing,Yes,This data can be accessed by users having roles: (Admin or Doctor) and belonging to the Oncology department with clearance level 1.
Research Data,Confidential,Neurology,Research,No,This data can be accessed by users having roles: (Researcher or Nurse) and belonging to the Neurology department with clearance level 2.
Lab Results,Highly Confidential,Cardiology,Treatment,Yes,This data can be accessed by users having roles: (Doctor or Researcher) and belonging to the Cardiology department with clearance level 1.
Lab Results,Highly Confidential,Cardiology,Training,Yes,This data can be accessed by users having roles: Researcher and belonging to the Cardiology department with clearance level 3.
Research Data,Public,Neurology,Research,No,This data can be accessed by users having roles: Doctor and belonging to the Neurology department with clearance level 3.
Research Data,Confidential,General Medicine,Billing,Yes,This data can be accessed by users having roles: (Admin or Researcher) and belonging to the General Medicine department with clearance level 3.
Medical Records,Public,General Medicine,Research,Yes,This data can be accessed by users having roles: (Researcher or Admin) and belonging to the General Medicine department with clearance level 1.
Medical Records,Highly Confidential,Oncology,Training,No,This data can be accessed by users having roles: (Nurse or Admin) and belonging to the Oncology department with clearance level 3.
Medical Records,Highly Confidential,Radiology,Training,Yes,This data can be accessed by users having roles: (Doctor or Nurse) and belonging to the Radiology department with clearance level 1.
Lab Results,Public,Oncology,Billing,Yes,This data can be accessed by users having roles: Doctor and belonging to the Oncology department with clearance level 2.
Research Data,Restricted,Radiology,Billing,Yes,This data can be accessed by users having roles: Nurse and belonging to the Radiology department with clearance level 1.
Lab Results,Public,General Medicine,Treatment,Yes,This data can be accessed by users having roles: (Nurse or Doctor) and belonging to the General Medicine department with clearance level 2.
Medical Records,Restricted,Radiology,Research,Yes,This data can be accessed by users having roles: (Researcher or Nurse) and belonging to the Radiology department with clearance level 3.
Lab Results,Highly Confidential,Oncology,Training,No,This data can be accessed by users having roles: Doctor and belonging to the Oncology department with clearance level 1.
Research Data,Restricted,Neurology,Research,No,This data can be accessed by users having roles: (Doctor or Researcher) and belonging to the Neurology department with clearance level 1.
Lab Results,Public,Cardiology,Training,No,This data can be accessed by users having roles: Admin and belonging to the Cardiology department with clearance level 1.
Prescriptions,Highly Confidential,Neurology,Research,Yes,This data can be accessed by users having roles: (Researcher or Doctor) and belonging to the Neurology department with clearance level 2.
Prescriptions,Confidential,Cardiology,Treatment,No,This data can be accessed by users having roles: (Nurse or Researcher) and belonging to the Cardiology department with clearance level 1.
Medical Records,Public,Cardiology,Research,No,This data can be accessed by users having roles: (Admin or Doctor) and belonging to the Cardiology department with clearance level 2.
Medical Records,Highly Confidential,General Medicine,Billing,No,This data can be accessed by users having roles: (Doctor or Admin) and belonging to the General Medicine department with clearance level 3.
Administrative Data,Public,Cardiology,Training,No,This data can be accessed by users having roles: (Doctor or Admin) and belonging to the Cardiology department with clearance level 3.
Imaging Data,Confidential,General Medicine,Training,Yes,This data can be accessed by users having roles: (Nurse or Admin) and belonging to the General Medicine department with clearance level 1.
Imaging Data,Public,Oncology,Training,No,This data can be accessed by users having roles: Doctor and belonging to the Oncology department with clearance level 3.
Research Data,Public,Neurology,Research,No,This data can be accessed by users having roles: (Doctor or Researcher) and belonging to the Neurology department with clearance level 1.
Prescriptions,Public,General Medicine,Training,No,This data can be accessed by users having roles: (Doctor or Researcher) and belonging to the General Medicine department with clearance level 1.
Administrative Data,Highly Confidential,Oncology,Research,Yes,This data can be accessed by users having roles: (Researcher or Doctor) and belonging to the Oncology department with clearance level 3.
Lab Results,Confidential,General Medicine,Training,Yes,This data can be accessed by users having roles: (Admin or Researcher) and belonging to the General Medicine department with clearance level 1.
Medical Records,Restricted,Neurology,Training,No,This data can be accessed by users having roles: (Admin or Nurse) and belonging to the Neurology department with clearance level 2.
Imaging Data,Restricted,General Medicine,Training,No,This data can be accessed by users having roles: (Doctor or Researcher) and belonging to the General Medicine department with clearance level 2.
Medical Records,Confidential,Oncology,Research,Yes,This data can be accessed by users having roles: (Doctor or Admin) and belonging to the Oncology department with clearance level 2.
Lab Results,Highly Confidential,Radiology,Billing,No,This data can be accessed by users having roles: Researcher and belonging to the Radiology department with clearance level 2.
Prescriptions,Highly Confidential,General Medicine,Training,Yes,This data can be accessed by users having roles: (Nurse or Admin) and belonging to the General Medicine department with clearance level 2.
Imaging Data,Restricted,General Medicine,Treatment,No,This data can be accessed by users having roles: (Nurse or Doctor) and belonging to the General Medicine department with clearance level 3.
Research Data,Public,General Medicine,Training,No,This data can be accessed by users having roles: (Doctor or Admin) and belonging to the General Medicine department with clearance level 2.
Prescriptions,Highly Confidential,Neurology,Research,Yes,This data can be accessed by users having roles: Nurse and belonging to the Neurology department with clearance level 3.
Medical Records,Highly Confidential,Oncology,Treatment,No,This data can be accessed by users having roles: (Admin or Researcher) and belonging to the Oncology department with clearance level 1.
Imaging Data,Public,Neurology,Treatment,Yes,This data can be accessed by users having roles: Researcher and belonging to the Neurology department with clearance level 2.
Medical Records,Confidential,Cardiology,Billing,No,This data can be accessed by users having roles: Doctor and belonging to the Cardiology department with clearance level 1.
Imaging Data,Public,General Medicine,Billing,No,This data can be accessed by users having roles: (Researcher or Nurse) and belonging to the General Medicine department with clearance level 2.
Administrative Data,Highly Confidential,Neurology,Research,No,This data can be accessed by users having roles: (Admin or Nurse) and belonging to the Neurology department with clearance level 1.
Imaging Data,Confidential,Oncology,Billing,Yes,This data can be accessed by users having roles: (Researcher or Nurse) and belonging to the Oncology department with clearance level 3.
Prescriptions,Restricted,Oncology,Research,No,This data can be accessed by users having roles: Nurse and belonging to the Oncology department with clearance level 2.
Research Data,Highly Confidential,Cardiology,Training,No,This data can be accessed by users having roles: Admin and belonging to the Cardiology department with clearance level 1.
Imaging Data,Restricted,Neurology,Training,No,This data can be accessed by users having roles: (Nurse or Admin) and belonging to the Neurology department with clearance level 3.
Administrative Data,Public,General Medicine,Billing,Yes,This data can be accessed by users having roles: (Admin or Doctor) and belonging to the General Medicine department with clearance level 3.
Prescriptions,Confidential,Neurology,Research,No,This data can be accessed by users having roles: (Researcher or Doctor) and belonging to the Neurology department with clearance level 2.
Research Data,Confidential,General Medicine,Research,No,This data can be accessed by users having roles: (Doctor or Admin) and belonging to the General Medicine department with clearance level 3.
Administrative Data,Restricted,Radiology,Billing,No,This data can be accessed by users having roles: Nurse and belonging to the Radiology department with clearance level 1.
Imaging Data,Confidential,Cardiology,Treatment,Yes,This data can be accessed by users having roles: (Nurse or Researcher) and belonging to the Cardiology department with clearance level 1.
Administrative Data,Highly Confidential,Neurology,Training,No,This data can be accessed by users having roles: (Researcher or Nurse) and belonging to the Neurology department with clearance level 1.
Prescriptions,Highly Confidential,Neurology,Research,No,This data can be accessed by users having roles: (Admin or Doctor) and belonging to the Neurology department with clearance level 3.
Medical Records,Restricted,Cardiology,Research,No,This data can be accessed by users having roles: (Nurse or Researcher) and belonging to the Cardiology department with clearance level 1.
Lab Results,Restricted,Cardiology,Training,Yes,This data can be accessed by users having roles: (Admin or Researcher) and belonging to the Cardiology department with clearance level 1.
Administrative Data,Public,Oncology,Treatment,No,This data can be accessed by users having roles: (Admin or Nurse) and belonging to the Oncology department with clearance level 3.
Medical Records,Restricted,Cardiology,Billing,No,This data can be accessed by users having roles: Researcher and belonging to the Cardiology department with clearance level 2.
Administrative Data,Restricted,Neurology,Training,Yes,This data can be accessed by users having roles: (Doctor or Nurse) and belonging to the Neurology department with clearance level 1.
Medical Records,Confidential,General Medicine,Billing,No,This data can be accessed by users having roles: (Doctor or Admin) and belonging to the General Medicine department with clearance level 2.
Lab Results,Public,Oncology,Billing,No,This data can be accessed by users having roles: (Nurse or Doctor) and belonging to the Oncology department with clearance level 1.
Research Data,Highly Confidential,Cardiology,Billing,Yes,This data can be accessed by users having roles: Researcher and belonging to the Cardiology department with clearance level 2.
Administrative Data,Highly Confidential,General Medicine,Treatment,Yes,This data can be accessed by users having roles: (Nurse or Admin) and belonging to the General Medicine department with clearance level 3.
Research Data,Confidential,Cardiology,Training,No,This data can be accessed by users having roles: (Doctor or Nurse) and belonging to the Cardiology department with clearance level 3.
Imaging Data,Confidential,Neurology,Billing,Yes,This data can be accessed by users having roles: (Researcher or Nurse) and belonging to the Neurology department with clearance level 2.
Imaging Data,Confidential,Cardiology,Training,No,This data can be accessed by users having roles: (Doctor or Researcher) and belonging to the Cardiology department with clearance level 1.
Imaging Data,Highly Confidential,Cardiology,Treatment,No,This data can be accessed by users having roles: (Nurse or Researcher) and belonging to the Cardiology department with clearance level 1.
Lab Results,Confidential,Cardiology,Treatment,No,This data can be accessed by users having roles: (Doctor or Nurse) and belonging to the Cardiology department with clearance level 1.
Medical Records,Confidential,Cardiology,Treatment,Yes,This data can be accessed by users having roles: (Doctor or Admin) and belonging to the Cardiology department with clearance level 1.
Administrative Data,Restricted,Cardiology,Training,No,This data can be accessed by users having roles: (Researcher or Doctor) and belonging to the Cardiology department with clearance level 1.
Medical Records,Confidential,Radiology,Treatment,Yes,This data can be accessed by users having roles: (Doctor or Researcher) and belonging to the Radiology department with clearance level 1.
Research Data,Confidential,Cardiology,Training,No,This data can be accessed by users having roles: Nurse and belonging to the Cardiology department with clearance level 2.
Medical Records,Restricted,Radiology,Billing,No,This data can be accessed by users having roles: (Admin or Researcher) and belonging to the Radiology department with clearance level 2.
Imaging Data,Highly Confidential,Cardiology,Billing,Yes,This data can be accessed by users having roles: (Admin or Doctor) and belonging to the Cardiology department with clearance level 3.
Administrative Data,Public,Neurology,Treatment,Yes,This data can be accessed by users having roles: (Admin or Doctor) and belonging to the Neurology department with clearance level 3.
Lab Results,Highly Confidential,Radiology,Billing,No,This data can be accessed by users having roles: (Admin or Researcher) and belonging to the Radiology department with clearance level 1.
Medical Records,Restricted,General Medicine,Research,Yes,This data can be accessed by users having roles: (Admin or Nurse) and belonging to the General Medicine department with clearance level 3.
Prescriptions,Confidential,Radiology,Billing,Yes,This data can be accessed by users having roles: (Doctor or Admin) and belonging to the Radiology department with clearance level 2.
Medical Records,Public,Oncology,Research,Yes,This data can be accessed by users having roles: (Admin or Researcher) and belonging to the Oncology department with clearance level 2.
Imaging Data,Public,Neurology,Billing,No,This data can be accessed by users having roles: Doctor and belonging to the Neurology department with clearance level 3.
Lab Results,Restricted,Cardiology,Treatment,Yes,This data can be accessed by users having roles: (Admin or Nurse) and belonging to the Cardiology department with clearance level 2.
Imaging Data,Highly Confidential,General Medicine,Training,No,This data can be accessed by users having roles: (Nurse or Admin) and belonging to the General Medicine department with clearance level 1.
Prescriptions,Public,Radiology,Treatment,Yes,This data can be accessed by users having roles: (Admin or Researcher) and belonging to the Radiology department with clearance level 3.
Prescriptions,Confidential,Cardiology,Training,Yes,This data can be accessed by users having roles: (Nurse or Researcher) and belonging to the Cardiology department with clearance level 3.
Imaging Data,Confidential,Cardiology,Billing,Yes,This data can be accessed by users having roles: (Nurse or Admin) and belonging to the Cardiology department with clearance level 1.
Lab Results,Confidential,Radiology,Treatment,No,This data can be accessed by users having roles: (Nurse or Researcher) and belonging to the Radiology department with clearance level 1.
Research Data,Restricted,Radiology,Treatment,Yes,This data can be accessed by users having roles: Researcher and belonging to the Radiology department with clearance level 3.
Administrative Data,Restricted,Neurology,Research,No,This data can be accessed by users having roles: (Admin or Researcher) and belonging to the Neurology department with clearance level 3.
Lab Results,Restricted,Neurology,Research,Yes,This data can be accessed by users having roles: Admin and belonging to the Neurology department with clearance level 3.
Imaging Data,Restricted,Radiology,Research,Yes,This data can be accessed by users having roles: (Nurse or Doctor) and belonging to the Radiology department with clearance level 3.
Lab Results,Confidential,Radiology,Training,Yes,This data can be accessed by users having roles: Doctor and belonging to the Radiology department with clearance level 1.
Prescriptions,Highly Confidential,General Medicine,Training,No,This data can be accessed by users having roles: (Nurse or Admin) and belonging to the General Medicine department with clearance level 3.
Administrative Data,Restricted,Oncology,Training,Yes,This data can be accessed by users having roles: (Admin or Doctor) and belonging to the Oncology department with clearance level 1.
Lab Results,Restricted,Oncology,Billing,Yes,This data can be accessed by users having roles: (Nurse or Admin) and belonging to the Oncology department with clearance level 3.
Imaging Data,Restricted,Oncology,Research,Yes,This data can be accessed by users having roles: Doctor and belonging to the Oncology department with clearance level 2.
Imaging Data,Restricted,Neurology,Treatment,Yes,This data can be accessed by users having roles: (Nurse or Admin) and belonging to the Neurology department with clearance level 1.
Medical Records,Highly Confidential,Neurology,Research,Yes,This data can be accessed by users having roles: Doctor and belonging to the Neurology department with clearance level 2.
Imaging Data,Highly Confidential,Neurology,Research,Yes,This data can be accessed by users having roles: (Nurse or Admin) and belonging to the Neurology department with clearance level 1.
Lab Results,Public,Radiology,Research,Yes,This data can be accessed by users having roles: (Doctor or Nurse) and belonging to the Radiology department with clearance level 2.
Administrative Data,Public,Neurology,Treatment,Yes,This data can be accessed by users having roles: (Researcher or Nurse) and belonging to the Neurology department with clearance level 2.
Imaging Data,Confidential,Cardiology,Treatment,Yes,This data can be accessed by users having roles: (Nurse or Doctor) and belonging to the Cardiology department with clearance level 2.
Prescriptions,Highly Confidential,General Medicine,Billing,Yes,This data can be accessed by users having roles: (Admin or Doctor) and belonging to the General Medicine department with clearance level 2.
Prescriptions,Public,Neurology,Research,No,This data can be accessed by users having roles: Researcher and belonging to the Neurology department with clearance level 2.
Prescriptions,Confidential,General Medicine,Research,No,This data can be accessed by users having roles: (Doctor or Researcher) and belonging to the General Medicine department with clearance level 1.
Imaging Data,Highly Confidential,Cardiology,Treatment,Yes,This data can be accessed by users having roles: (Nurse or Admin) and belonging to the Cardiology department with clearance level 1.
Medical Records,Restricted,Radiology,Training,No,This data can be accessed by users having roles: Researcher and belonging to the Radiology department with clearance level 3.
Prescriptions,Confidential,General Medicine,Billing,No,This data can be accessed by users having roles: Nurse and belonging to the General Medicine department with clearance level 1.
Administrative Data,Public,Oncology,Treatment,Yes,This data can be accessed by users having roles: (Researcher or Nurse) and belonging to the Oncology department with clearance level 1.
Research Data,Confidential,Cardiology,Training,Yes,This data can be accessed by users having roles: (Researcher or Nurse) and belonging to the Cardiology department with clearance level 3.
Prescriptions,Public,Radiology,Training,Yes,This data can be accessed by users having roles: (Researcher or Nurse) and belonging to the Radiology department with clearance level 1.
Lab Results,Confidential,Oncology,Billing,No,This data can be accessed by users having roles: (Nurse or Researcher) and belonging to the Oncology department with clearance level 1.
Research Data,Restricted,General Medicine,Training,No,This data can be accessed by users having roles: (Researcher or Nurse) and belonging to the General Medicine department with clearance level 2.
Medical Records,Confidential,Neurology,Billing,No,This data can be accessed by users having roles: (Nurse or Admin) and belonging to the Neurology department with clearance level 2.
Prescriptions,Restricted,General Medicine,Treatment,No,This data can be accessed by users having roles: (Researcher or Doctor) and belonging to the General Medicine department with clearance level 1.
Imaging Data,Public,Radiology,Billing,Yes,This data can be accessed by users having roles: (Doctor or Admin) and belonging to the Radiology department with clearance level 3.
Medical Records,Restricted,Oncology,Training,Yes,This data can be accessed by users having roles: (Doctor or Researcher) and belonging to the Oncology department with clearance level 3.
Medical Records,Confidential,Neurology,Training,No,This data can be accessed by users having roles: Doctor and belonging to the Neurology department with clearance level 3.
Research Data,Public,Neurology,Training,No,This data can be accessed by users having roles: (Doctor or Researcher) and belonging to the Neurology department with clearance level 3.
Research Data,Highly Confidential,General Medicine,Research,Yes,This data can be accessed by users having roles: (Doctor or Researcher) and belonging to the General Medicine department with clearance level 1.
Prescriptions,Highly Confidential,Neurology,Treatment,Yes,This data can be accessed by users having roles: Nurse and belonging to the Neurology department with clearance level 3.
Imaging Data,Confidential,Neurology,Training,Yes,This data can be accessed by users having roles: (Admin or Doctor) and belonging to the Neurology department with clearance level 1.
Research Data,Confidential,Cardiology,Research,Yes,This data can be accessed by users having roles: Doctor and belonging to the Cardiology department with clearance level 2.
Research Data,Confidential,Radiology,Billing,No,This data can be accessed by users having roles: (Nurse or Researcher) and belonging to the Radiology department with clearance level 3.
Lab Results,Restricted,Oncology,Research,Yes,This data can be accessed by users having roles: (Doctor or Nurse) and belonging to the Oncology department with clearance level 2.
Imaging Data,Highly Confidential,Oncology,Research,Yes,This data can be accessed by users having roles: Admin and belonging to the Oncology department with clearance level 2.
Administrative Data,Restricted,Cardiology,Billing,No,This data can be accessed by users having roles: (Nurse or Admin) and belonging to the Cardiology department with clearance level 3.
Research Data,Public,Oncology,Training,Yes,This data can be accessed by users having roles: (Admin or Researcher) and belonging to the Oncology department with clearance level 1.
Research Data,Restricted,Neurology,Billing,No,This data can be accessed by users having roles: (Admin or Doctor) and belonging to the Neurology department with clearance level 1.
Administrative Data,Confidential,Oncology,Training,Yes,This data can be accessed by users having roles: Admin and belonging to the Oncology department with clearance level 1.
Administrative Data,Highly Confidential,Oncology,Training,Yes,This data can be accessed by users having roles: (Researcher or Admin) and belonging to the Oncology department with clearance level 1.
Medical Records,Highly Confidential,General Medicine,Research,No,This data can be accessed by users having roles: (Doctor or Nurse) and belonging to the General Medicine department with clearance level 3.
Research Data,Public,General Medicine,Billing,No,This data can be accessed by users having roles: (Researcher or Doctor) and belonging to the General Medicine department with clearance level 1.
Administrative Data,Highly Confidential,Oncology,Training,Yes,This data can be accessed by users having roles: Admin and belonging to the Oncology department with clearance level 1.
Imaging Data,Highly Confidential,Oncology,Research,No,This data can be accessed by users having roles: (Admin or Nurse) and belonging to the Oncology department with clearance level 1.
Research Data,Public,Cardiology,Research,Yes,This data can be accessed by users having roles: (Nurse or Admin) and belonging to the Cardiology department with clearance level 3.
Administrative Data,Public,Neurology,Treatment,No,This data can be accessed by users having roles: (Admin or Nurse) and belonging to the Neurology department with clearance level 1.
Prescriptions,Confidential,Cardiology,Billing,Yes,This data can be accessed by users having roles: (Nurse or Admin) and belonging to the Cardiology department with clearance level 3.
Prescriptions,Confidential,Neurology,Billing,Yes,This data can be accessed by users having roles: Researcher and belonging to the Neurology department with clearance level 3.
Research Data,Confidential,Neurology,Billing,Yes,This data can be accessed by users having roles: (Nurse or Doctor) and belonging to the Neurology department with clearance level 2.
Prescriptions,Restricted,Oncology,Research,No,This data can be accessed by users having roles: (Doctor or Nurse) and belonging to the Oncology department with clearance level 2.
Imaging Data,Highly Confidential,Oncology,Research,No,This data can be accessed by users having roles: (Nurse or Researcher) and belonging to the Oncology department with clearance level 1.
Lab Results,Public,Radiology,Training,No,This data can be accessed by users having roles: (Doctor or Admin) and belonging to the Radiology department with clearance level 1.
Lab Results,Highly Confidential,Cardiology,Billing,No,This data can be accessed by users having roles: (Researcher or Admin) and belonging to the Cardiology department with clearance level 1.
Lab Results,Highly Confidential,Oncology,Treatment,Yes,This data can be accessed by users having roles: (Admin or Researcher) and belonging to the Oncology department with clearance level 2.
Imaging Data,Highly Confidential,General Medicine,Treatment,No,This data can be accessed by users having roles: (Nurse or Doctor) and belonging to the General Medicine department with clearance level 3.
Imaging Data,Confidential,Cardiology,Billing,No,This data can be accessed by users having roles: Nurse and belonging to the Cardiology department with clearance level 1.
Administrative Data,Public,Cardiology,Billing,Yes,This data can be accessed by users having roles: Doctor and belonging to the Cardiology department with clearance level 3.
Lab Results,Confidential,Cardiology,Research,No,This data can be accessed by users having roles: (Admin or Researcher) and belonging to the Cardiology department with clearance level 1.
Research Data,Confidential,Neurology,Treatment,Yes,This data can be accessed by users having roles: (Admin or Doctor) and belonging to the Neurology department with clearance level 2.
Administrative Data,Confidential,Cardiology,Billing,Yes,This data can be accessed by users having roles: Nurse and belonging to the Cardiology department with clearance level 2.
Prescriptions,Confidential,Neurology,Treatment,Yes,This data can be accessed by users having roles: Admin and belonging to the Neurology department with clearance level 3.
Imaging Data,Confidential,Radiology,Research,No,This data can be accessed by users having roles: (Nurse or Doctor) and belonging to the Radiology department with clearance level 3.
Administrative Data,Highly Confidential,Cardiology,Treatment,Yes,This data can be accessed by users having roles: (Researcher or Doctor) and belonging to the Cardiology department with clearance level 3.
Imaging Data,Confidential,Oncology,Research,Yes,This data can be accessed by users having roles: (Doctor or Admin) and belonging to the Oncology department with clearance level 1.
Medical Records,Restricted,Radiology,Training,Yes,This data can be accessed by users having roles: (Doctor or Admin) and belonging to the Radiology department with clearance level 1.
Medical Records,Restricted,Cardiology,Training,Yes,This data can be accessed by users having roles: Nurse and belonging to the Cardiology department with clearance level 3.
Prescriptions,Highly Confidential,Neurology,Billing,No,This data can be accessed by users having roles: (Researcher or Nurse) and belonging to the Neurology department with clearance level 3.
Lab Results,Restricted,Oncology,Training,Yes,This data can be accessed by users having roles: Doctor and belonging to the Oncology department with clearance level 3.
Lab Results,Public,Neurology,Billing,Yes,This data can be accessed by users having roles: (Doctor or Researcher) and belonging to the Neurology department with clearance level 2.
Imaging Data,Public,Oncology,Training,Yes,This data can be accessed by users having roles: Admin and belonging to the Oncology department with clearance level 2.
Administrative Data,Confidential,Neurology,Treatment,No,This data can be accessed by users having roles: (Nurse or Researcher) and belonging to the Neurology department with clearance level 1.
Lab Results,Highly Confidential,Radiology,Research,Yes,This data can be accessed by users having roles: (Nurse or Doctor) and belonging to the Radiology department with clearance level 1.
Medical Records,Public,General Medicine,Training,Yes,This data can be accessed by users having roles: Researcher and belonging to the General Medicine department with clearance level 3.
Research Data,Public,Oncology,Billing,No,This data can be accessed by users having roles: Admin and belonging to the Oncology department with clearance level 3.
Medical Records,Confidential,Cardiology,Treatment,Yes,This data can be accessed by users having roles: Admin and belonging to the Cardiology department with clearance level 1.
Administrative Data,Public,Radiology,Training,No,This data can be accessed by users having roles: (Doctor or Nurse) and belonging to the Radiology department with clearance level 2.
Medical Records,Highly Confidential,Neurology,Billing,No,This data can be accessed by users having roles: (Nurse or Doctor) and belonging to the Neurology department with clearance level 3.
Research Data,Highly Confidential,Neurology,Billing,Yes,This data can be accessed by users having roles: (Nurse or Admin) and belonging to the Neurology department with clearance level 3.
Lab Results,Confidential,Cardiology,Research,Yes,This data can be accessed by users having roles: (Doctor or Admin) and belonging to the Cardiology department with clearance level 3.
Prescriptions,Highly Confidential,Radiology,Research,Yes,This data can be accessed by users having roles: Doctor and belonging to the Radiology department with clearance level 1.
Research Data,Restricted,General Medicine,Treatment,Yes,This data can be accessed by users having roles: (Researcher or Nurse) and belonging to the General Medicine department with clearance level 3.
Medical Records,Confidential,Radiology,Research,Yes,This data can be accessed by users having roles: (Admin or Nurse) and belonging to the Radiology department with clearance level 1.
Medical Records,Confidential,Neurology,Billing,No,This data can be accessed by users having roles: (Doctor or Researcher) and belonging to the Neurology department with clearance level 1.
Research Data,Highly Confidential,Oncology,Training,Yes,This data can be accessed by users having roles: (Nurse or Doctor) and belonging to the Oncology department with clearance level 2.
Medical Records,Confidential,Cardiology,Treatment,Yes,This data can be accessed by users having roles: (Doctor or Admin) and belonging to the Cardiology department with clearance level 3.
Lab Results,Restricted,General Medicine,Treatment,No,This data can be accessed by users having roles: Doctor and belonging to the General Medicine department with clearance level 2.
Prescriptions,Restricted,Oncology,Billing,Yes,This data can be accessed by users having roles: Nurse and belonging to the Oncology department with clearance level 2.
Medical Records,Highly Confidential,Oncology,Research,Yes,This data can be accessed by users having roles: (Admin or Researcher) and belonging to the Oncology department with clearance level 3.
Prescriptions,Restricted,General Medicine,Treatment,No,This data can be accessed by users having roles: (Doctor or Nurse) and belonging to the General Medicine department with clearance level 3.
Lab Results,Highly Confidential,Cardiology,Training,Yes,This data can be accessed by users having roles: (Doctor or Admin) and belonging to the Cardiology department with clearance level 1.
Imaging Data,Confidential,Cardiology,Billing,Yes,This data can be accessed by users having roles: Admin and belonging to the Cardiology department with clearance level 1.
Research Data,Highly Confidential,Cardiology,Treatment,No,This data can be accessed by users having roles: (Doctor or Nurse) and belonging to the Cardiology department with clearance level 1.
Prescriptions,Confidential,Oncology,Research,No,This data can be accessed by users having roles: Nurse and belonging to the Oncology department with clearance level 3.
Research Data,Restricted,General Medicine,Billing,No,This data can be accessed by users having roles: Doctor and belonging to the General Medicine department with clearance level 1.
Administrative Data,Public,Oncology,Training,No,This data can be accessed by users having roles: (Nurse or Doctor) and belonging to the Oncology department with clearance level 2.
Administrative Data,Public,Cardiology,Billing,Yes,This data can be accessed by users having roles: (Researcher or Nurse) and belonging to the Cardiology department with clearance level 2.
Prescriptions,Public,Neurology,Billing,Yes,This data can be accessed by users having roles: (Doctor or Admin) and belonging to the Neurology department with clearance level 3.
Medical Records,Confidential,Radiology,Billing,Yes,This data can be accessed by users having roles: Researcher and belonging to the Radiology department with clearance level 3.
Medical Records,Highly Confidential,Radiology,Treatment,No,This data can be accessed by users having roles: (Admin or Researcher) and belonging to the Radiology department with clearance level 3.
Research Data,Restricted,Radiology,Treatment,Yes,This data can be accessed by users having roles: (Nurse or Doctor) and belonging to the Radiology department with clearance level 3.
Medical Records,Public,Cardiology,Training,No,This data can be accessed by users having roles: (Nurse or Researcher) and belonging to the Cardiology department with clearance level 3.
